id,name,type,root
58db22b48a8ebf533ad6139a,Ankush Nijhawan,crunchbase,
595f2a395aa652985b1b0561,Ankur Warikoo,crunchbase,
G2swm739suJtc9QRy,Ankur Pansari,crunchbase,
595f2af4bf650dcded8e0ffa,Ankur Goyal,crunchbase,
58e49597f6013e8e2ef70815,Ankur Capital,crunchbase,
59473719a609a3e5159d274e,Ankit Pruthi,manualEntry,
58c63392ad233433e9f3eed3,Ankit Nagori,crunchbase,
58db192f5131ed757f8cac13,Ankit Gupta,crunchbase,
58dc653faade10f101c4be9c,Ankit Bhati,crunchbase,
g23Li3NY5tPD2Gvfj,Anjie Environmental,manualEntry,
58ddc61c1e5d885c233a5b27,Anjani Prasad,crunchbase,
58f6ca9d9911a5f2180bbea4,Anirudh Sheth,manualEntry,
58edd103c098326d10d25263,Anirudh Rastogi,crunchbase,
BYJrXDaH8vgzRg8fT,Anirudh Damani,crunchbase,
591a7195ffcdb1ce2635f29c,Aniruddha Malpani,crunchbase,
59004289746fe9e4459cae99,Anil Menon,crunchbase,
ZLmEXfFmXcY8tn2uA,Anil Jain,crunchbase,
E8Gpa3Li6Wx5hoYyM,Anil Jaggia,crunchbase,
jTCHHn8wQn7izEK3w,Anil Gudibande,manualEntry,
3Q9FfhZTjuoEkCYp2,Anil Gelra,crunchbase,
595f2d09b99e88ec54a272f9,Aniket Khera,crunchbase,
594a28e9e0a3178d2f0b3028,Anhui Human Technology,manualEntry,
5962e10dfd42a3af31768581,Anheuser-Busch InBev,crunchbase,
595f54a2caf9f5fef7bd0484,Anglian Omega Network,manualEntry,
jmFXvKHvyqMp5YYb3,ANGIN,manualEntry,
591d39f93f0fbd438e75c6e5,Angie Mahtaney,crunchbase,
CSNJLXu2DEARZNiEm,AngelVest (天使谷),manualEntry,
594723828857b6fc3cd71d5b,Angels Network,crunchbase,
But2dbimiLHDNJN8o,AngelPad,crunchbase,
AF58B6wibQeaN7Sst,Angel-eQ,manualEntry,
Qs2oZx2mSvjCpgGry,AngelCube,crunchbase,
7SjgtH5cBjbz3v4Zs,Angel Plus (洪泰基金),manualEntry,
58e742f591bbc1a7c1142cde,Angel Plus,manualEntry,Angel Plus (洪泰基金)
596320220b1328f9808d2473,Angel Medical Instrument,crunchbase,
58dcd167ea7146fef9fb6a5e,Angel Investors Network,crunchbase,
58d32241b074bfd0dac62e27,Anfield Resources,crunchbase,
58dcd236314898714a42f93a,Aneesh Reddy,crunchbase,
PyjCRJuh38JBNAJ2w,Andy Zain,manualEntry,
592fc1cd80b9c4341a77c547,Andy Scott,crunchbase,
3yyNLAk4bFGXfu8Hv,Andy Miller,manualEntry,
qZZ7ziMWjsgCMGNBQ,Andy McLoughlin,crunchbase,
byWuET32JGJSAsZpT,Andy James,crunchbase,
emcqKzAKLgS9AnswA,Andy Honess,crunchbase,
2pR4X2Nvzsc7cpctd,Anduin Capital,manualEntry,
tk6qe5yMWuQxkXvAA,Andrey Shirben,crunchbase,
vMTt2sm3PEqFbQt5o,Andrew Walsh,manualEntry,
PJMKDx4jTDvzGe2tu,Andrew Solimine,crunchbase,
jxG6e8zSdEnpECbJJ,Andrew Riddick,crunchbase,
kNWWeecJfGuXBRtpP,Andrew Mitchell,crunchbase,
geuAdhcsgrzhZ7eCo,Andrew McCollum,crunchbase,
DEgDwPL8Bzqa69x6c,Andrew Frame,crunchbase,
b9bA6sBKFPsbPuMXN,Andrew Ferenci,crunchbase,
mZyiuPFDo8SR5P9tJ,Andrew Chen,crunchbase,
xszgZu99znnTy3H8n,Andrew Boszhardt, Jr.,
5wuGGvzqubFjo6dpc,Andrew Barlow,crunchbase,
88S4wF9dazCRKtqui,Andrew Banks,manualEntry,
y2iNYNYxD3PSaoWyK,Andres Varela,manualEntry,
gKYS4CTGRCuwnQDDE,Andreessen Horowitz,crunchbase,
KpYfMmMAJ3EhfBBou,Andreas Wuerfel,crunchbase,
592e618a6d9fe079ba81c4aa,Andreas von Arx,crunchbase,
sGxGf4jCmiyWvpKgg,Andre Hoffmann,manualEntry,
