id,name,type
8bqgovn6B6QSBkZvT,BAI (贝塔斯曼亚洲投资基金),manualEntry
8cGEoPnpn3Z8b9eCz,Mans Hultman,crunchbase
8eNFrm89yjf5EMQPy,Jagdish Chanrai,crunchbase
94GavsAYtXEqid6sM,Hugo Barra,crunchbase
A2erqxtK6Psosvgd5,Mike Baukes,crunchbase
AC93nqrvojnJPz9uY,TNF Ventures,crunchbase
2Bxbh6u2cFCREXRHB,Mogujie (蘑菇街),manualEntry
2Fv4pMLHAXsD9KL33,Florian Fenner,manualEntry
26TkoiSXGeuG4uh8B,JD.com (京东),manualEntry
2JCh69TMxaSkmCchv,Village Ventures,crunchbase
2JJpcwyns9YE8ANEN,Incubix Technologies,manualEntry
2NCGaw79b44zKsXEQ,Adrian Vanzyl,manualEntry
2fxphrkz6LcMAEmWY,Corfina Group,manualEntry
29gjyAtiWXwvujXJQ,LB Investment,manualEntry
36qmgobpQdpagYxbw,AXL Strategic Partners,manualEntry
2J4neAurzFc25Qjsi,Craig Hewett,crunchbase
3A2d5iexmmdsCbtyA,Vivant Ventures,crunchbase
2NHQKR2RXQtcxnMPN,Stripes Group,crunchbase
3Lwzs3kBnEH3Nuwm8,NEA (恩颐投资),manualEntry
3khm7wGHb9g6r4qyZ,Teng Wen Wee,crunchbase
2n8tSQXMho45hgGsF,Ceyuan Ventures,crunchbase
4F7ABLnymkfs3mnKM,Mingr (明牌珠宝),manualEntry
3LgocnApjfYQfkY2n,Taiwan Institutional Funds,manualEntry
4FWd5hvagqXDtrXTd,Shinji Kimura,manualEntry
3X5E7CLoYy5czkRK3,Kreatif Media Karya,manualEntry
4gpSBeiQ8nikuAChr,Chloe Lim,crunchbase
4PLFgi9GmGvsDZNix,Bosch,crunchbase
4jBDgC9ocRBhyisnf,Altpoint Ventures,manualEntry
4QoQaRpPSTGRQyqms,Suma Vision (数码视讯),manualEntry
5PNgdYovnnWLDXfX4,Interplay Ventures,crunchbase
5WzNsGe5FQvLtda4S,Next View Capital (歌石投资),manualEntry
5PwoGXdEXBgJCpc99,Jonathan Chua,manualEntry
